Lat,Lon,FishSp,HabitatType
55,-152,lepidopsetta polyxystra,soft-sediment
53,-163,lepidopsetta polyxystra,mud
53,-163,lepidopsetta polyxystra,sand
53,-163,lepidopsetta polyxystra,soft-sediment
52,-180,lepidopsetta polyxystra,mud
52,-180,lepidopsetta polyxystra,sand
52,-180,lepidopsetta polyxystra,soft-sediment
60,-170,lepidopsetta polyxystra,mud
60,-170,lepidopsetta polyxystra,sand
60,-170,lepidopsetta polyxystra,soft-sediment
52,-140,lepidopsetta bilineata,mud
52,-140,lepidopsetta bilineata,sand
52,-140,lepidopsetta bilineata,soft-sediment
55,-152,lepidopsetta bilineata,mud
55,-152,lepidopsetta bilineata,sand
55,-152,lepidopsetta bilineata,soft-sediment
53,-163,lepidopsetta bilineata,mud
53,-163,lepidopsetta bilineata,sand
53,-163,lepidopsetta bilineata,soft-sediment
52,-180,lepidopsetta bilineata,mud
52,-180,lepidopsetta bilineata,sand
52,-180,lepidopsetta bilineata,soft-sediment
60,-170,lepidopsetta bilineata,mud
60,-170,lepidopsetta bilineata,sand
60,-170,lepidopsetta bilineata,soft-sediment
52,-140,glyptocephalus zachirus,mud
52,-140,glyptocephalus zachirus,sand
52,-140,glyptocephalus zachirus,soft-sediment
55,-152,glyptocephalus zachirus,mud
55,-152,glyptocephalus zachirus,sand
55,-152,glyptocephalus zachirus,soft-sediment
53,-163,glyptocephalus zachirus,mud
53,-163,glyptocephalus zachirus,sand
53,-163,glyptocephalus zachirus,soft-sediment
52,-180,glyptocephalus zachirus,mud
52,-180,glyptocephalus zachirus,sand
52,-180,glyptocephalus zachirus,soft-sediment
60,-170,glyptocephalus zachirus,mud
60,-170,glyptocephalus zachirus,sand
60,-170,glyptocephalus zachirus,soft-sediment
52,-140,microstomus pacificus,mud
52,-140,microstomus pacificus,sand
52,-140,microstomus pacificus,soft-sediment
55,-152,microstomus pacificus,mud
55,-152,microstomus pacificus,sand
55,-152,microstomus pacificus,soft-sediment
53,-163,microstomus pacificus,mud
53,-163,microstomus pacificus,sand
53,-163,microstomus pacificus,soft-sediment
52,-180,microstomus pacificus,mud
52,-180,microstomus pacificus,sand
52,-180,microstomus pacificus,soft-sediment
60,-170,microstomus pacificus,mud
60,-170,microstomus pacificus,sand
60,-170,microstomus pacificus,soft-sediment
52,-140,hippoglossoides elassodon,
55,-152,hippoglossoides elassodon,
53,-163,hippoglossoides elassodon,
52,-180,hippoglossoides elassodon,
60,-170,hippoglossoides elassodon,
52,-140,hippoglossoides elassodon,soft-sediment
52,-140,hippoglossoides elassodon,mud
52,-140,hippoglossoides elassodon,sand
52,-140,hippoglossoides elassodon,rock
55,-152,hippoglossoides elassodon,soft-sediment
55,-152,hippoglossoides elassodon,mud
55,-152,hippoglossoides elassodon,sand
55,-152,hippoglossoides elassodon,rock
53,-163,hippoglossoides elassodon,soft-sediment
53,-163,hippoglossoides elassodon,mud
53,-163,hippoglossoides elassodon,sand
53,-163,hippoglossoides elassodon,rock
52,-180,hippoglossoides elassodon,soft-sediment
52,-180,hippoglossoides elassodon,mud
52,-180,hippoglossoides elassodon,sand
52,-180,hippoglossoides elassodon,rock
60,-170,hippoglossoides elassodon,soft-sediment
60,-170,hippoglossoides elassodon,mud
60,-170,hippoglossoides elassodon,sand
60,-170,hippoglossoides elassodon,rock
52,-140,atheresthes stomias,
55,-152,atheresthes stomias,
53,-163,atheresthes stomias,
52,-180,atheresthes stomias,
60,-170,atheresthes stomias,
52,-140,atheresthes stomias,soft-sediment
52,-140,atheresthes stomias,mud
52,-140,atheresthes stomias,sand
52,-140,atheresthes stomias,rock
55,-152,atheresthes stomias,soft-sediment
55,-152,atheresthes stomias,mud
55,-152,atheresthes stomias,sand
55,-152,atheresthes stomias,rock
53,-163,atheresthes stomias,soft-sediment
53,-163,atheresthes stomias,mud
53,-163,atheresthes stomias,sand
53,-163,atheresthes stomias,rock
52,-180,atheresthes stomias,soft-sediment
52,-180,atheresthes stomias,mud
52,-180,atheresthes stomias,sand
52,-180,atheresthes stomias,rock
60,-170,atheresthes stomias,soft-sediment
60,-170,atheresthes stomias,mud
60,-170,atheresthes stomias,sand
60,-170,atheresthes stomias,rock
52,-140,reinhardtius stomias,
55,-152,reinhardtius stomias,
53,-163,reinhardtius stomias,
52,-180,reinhardtius stomias,
60,-170,reinhardtius stomias,
52,-140,reinhardtius stomias,soft-sediment
52,-140,reinhardtius stomias,mud
52,-140,reinhardtius stomias,sand
52,-140,reinhardtius stomias,rock
55,-152,reinhardtius stomias,soft-sediment
55,-152,reinhardtius stomias,mud
55,-152,reinhardtius stomias,sand
55,-152,reinhardtius stomias,rock
53,-163,reinhardtius stomias,soft-sediment
53,-163,reinhardtius stomias,mud
53,-163,reinhardtius stomias,sand
53,-163,reinhardtius stomias,rock
52,-180,reinhardtius stomias,soft-sediment
52,-180,reinhardtius stomias,mud
52,-180,reinhardtius stomias,sand
52,-180,reinhardtius stomias,rock
60,-170,reinhardtius stomias,soft-sediment
60,-170,reinhardtius stomias,mud
60,-170,reinhardtius stomias,sand
60,-170,reinhardtius stomias,rock
52,-140,sebastes alutus,
55,-152,sebastes alutus,
53,-163,sebastes alutus,
52,-180,sebastes alutus,
60,-170,sebastes alutus,
52,-140,sebastes alutus,rock
55,-152,sebastes alutus,rock
53,-163,sebastes alutus,rock
52,-180,sebastes alutus,rock
60,-170,sebastes alutus,rock
52,-140,sebastes alutus,soft-sediment
52,-140,sebastes alutus,mud
52,-140,sebastes alutus,sand
52,-140,sebastes alutus,coral
55,-152,sebastes alutus,soft-sediment
55,-152,sebastes alutus,mud
55,-152,sebastes alutus,sand
55,-152,sebastes alutus,coral
53,-163,sebastes alutus,soft-sediment
53,-163,sebastes alutus,mud
53,-163,sebastes alutus,sand
53,-163,sebastes alutus,coral
52,-180,sebastes alutus,soft-sediment
52,-180,sebastes alutus,mud
52,-180,sebastes alutus,sand
52,-180,sebastes alutus,coral
60,-170,sebastes alutus,soft-sediment
60,-170,sebastes alutus,mud
60,-170,sebastes alutus,sand
60,-170,sebastes alutus,coral
52,-140,sebastes polyspinis,
55,-152,sebastes polyspinis,
53,-163,sebastes polyspinis,
52,-180,sebastes polyspinis,
60,-170,sebastes polyspinis,
52,-140,sebastes polyspinis,rock
55,-152,sebastes polyspinis,rock
53,-163,sebastes polyspinis,rock
52,-180,sebastes polyspinis,rock
60,-170,sebastes polyspinis,rock
52,-140,sebastes borealis,
55,-152,sebastes borealis,
53,-163,sebastes borealis,
52,-180,sebastes borealis,
60,-170,sebastes borealis,
52,-140,sebastes borealis,rock
55,-152,sebastes borealis,rock
53,-163,sebastes borealis,rock
52,-180,sebastes borealis,rock
60,-170,sebastes borealis,rock
52,-140,sebastes borealis,soft-sediment
52,-140,sebastes borealis,mud
52,-140,sebastes borealis,sand
52,-140,sebastes borealis,coral
55,-152,sebastes borealis,soft-sediment
55,-152,sebastes borealis,mud
55,-152,sebastes borealis,sand
55,-152,sebastes borealis,coral
53,-163,sebastes borealis,soft-sediment
53,-163,sebastes borealis,mud
53,-163,sebastes borealis,sand
53,-163,sebastes borealis,coral
52,-180,sebastes borealis,soft-sediment
52,-180,sebastes borealis,mud
52,-180,sebastes borealis,sand
52,-180,sebastes borealis,coral
60,-170,sebastes borealis,soft-sediment
60,-170,sebastes borealis,mud
60,-170,sebastes borealis,sand
60,-170,sebastes borealis,coral
52,-140,sebastes aleutianus,
55,-152,sebastes aleutianus,
53,-163,sebastes aleutianus,
52,-180,sebastes aleutianus,
60,-170,sebastes aleutianus,
52,-140,sebastes aleutianus,rock
55,-152,sebastes aleutianus,rock
53,-163,sebastes aleutianus,rock
52,-180,sebastes aleutianus,rock
60,-170,sebastes aleutianus,rock
52,-140,sebastes aleutianus,soft-sediment
52,-140,sebastes aleutianus,mud
52,-140,sebastes aleutianus,sand
52,-140,sebastes aleutianus,coral
55,-152,sebastes aleutianus,soft-sediment
55,-152,sebastes aleutianus,mud
55,-152,sebastes aleutianus,sand
55,-152,sebastes aleutianus,coral
53,-163,sebastes aleutianus,soft-sediment
53,-163,sebastes aleutianus,mud
53,-163,sebastes aleutianus,sand
53,-163,sebastes aleutianus,coral
52,-180,sebastes aleutianus,soft-sediment
52,-180,sebastes aleutianus,mud
52,-180,sebastes aleutianus,sand
52,-180,sebastes aleutianus,coral
60,-170,sebastes aleutianus,soft-sediment
60,-170,sebastes aleutianus,mud
60,-170,sebastes aleutianus,sand
60,-170,sebastes aleutianus,coral
52,-140,sebastes variabilis,coral
55,-152,sebastes variabilis,coral
53,-163,sebastes variabilis,coral
52,-180,sebastes variabilis,coral
60,-170,sebastes variabilis,coral
52,-140,sebastes variabilis,sand
52,-140,sebastes variabilis,rock
55,-152,sebastes variabilis,sand
55,-152,sebastes variabilis,rock
53,-163,sebastes variabilis,sand
53,-163,sebastes variabilis,rock
52,-180,sebastes variabilis,sand
52,-180,sebastes variabilis,rock
60,-170,sebastes variabilis,sand
60,-170,sebastes variabilis,rock
52,-140,sebastes ruberrimus,rock
52,-140,sebastes ruberrimus,coral
55,-152,sebastes ruberrimus,rock
55,-152,sebastes ruberrimus,coral
53,-163,sebastes ruberrimus,rock
53,-163,sebastes ruberrimus,coral
52,-180,sebastes ruberrimus,rock
52,-180,sebastes ruberrimus,coral
60,-170,sebastes ruberrimus,rock
60,-170,sebastes ruberrimus,coral
52,-140,sebastes ruberrimus,sand
55,-152,sebastes ruberrimus,sand
53,-163,sebastes ruberrimus,sand
52,-180,sebastes ruberrimus,sand
60,-170,sebastes ruberrimus,sand
52,-140,sebastolobus alascanus,
55,-152,sebastolobus alascanus,
53,-163,sebastolobus alascanus,
52,-180,sebastolobus alascanus,
60,-170,sebastolobus alascanus,
52,-140,sebastolobus alascanus,mud
52,-140,sebastolobus alascanus,rock
55,-152,sebastolobus alascanus,mud
55,-152,sebastolobus alascanus,rock
53,-163,sebastolobus alascanus,mud
53,-163,sebastolobus alascanus,rock
52,-180,sebastolobus alascanus,mud
52,-180,sebastolobus alascanus,rock
60,-170,sebastolobus alascanus,mud
60,-170,sebastolobus alascanus,rock
52,-140,sebastolobus alascanus,soft-sediment
52,-140,sebastolobus alascanus,sand
55,-152,sebastolobus alascanus,soft-sediment
55,-152,sebastolobus alascanus,sand
53,-163,sebastolobus alascanus,soft-sediment
53,-163,sebastolobus alascanus,sand
52,-180,sebastolobus alascanus,soft-sediment
52,-180,sebastolobus alascanus,sand
60,-170,sebastolobus alascanus,soft-sediment
60,-170,sebastolobus alascanus,sand
52,-140,pleurogrammus monopterygius,rock
52,-140,pleurogrammus monopterygius,macroalgae
55,-152,pleurogrammus monopterygius,rock
55,-152,pleurogrammus monopterygius,macroalgae
53,-163,pleurogrammus monopterygius,rock
53,-163,pleurogrammus monopterygius,macroalgae
52,-180,pleurogrammus monopterygius,rock
52,-180,pleurogrammus monopterygius,macroalgae
60,-170,pleurogrammus monopterygius,rock
60,-170,pleurogrammus monopterygius,macroalgae
52,-140,pleurogrammus monopterygius,
55,-152,pleurogrammus monopterygius,
53,-163,pleurogrammus monopterygius,
52,-180,pleurogrammus monopterygius,
60,-170,pleurogrammus monopterygius,
52,-140,pleurogrammus monopterygius,sand
52,-140,pleurogrammus monopterygius,reef
52,-140,pleurogrammus monopterygius,coral
55,-152,pleurogrammus monopterygius,sand
55,-152,pleurogrammus monopterygius,reef
55,-152,pleurogrammus monopterygius,coral
53,-163,pleurogrammus monopterygius,sand
53,-163,pleurogrammus monopterygius,reef
53,-163,pleurogrammus monopterygius,coral
52,-180,pleurogrammus monopterygius,sand
52,-180,pleurogrammus monopterygius,reef
52,-180,pleurogrammus monopterygius,coral
60,-170,pleurogrammus monopterygius,sand
60,-170,pleurogrammus monopterygius,reef
60,-170,pleurogrammus monopterygius,coral
52,-140,squalus acanthias,
55,-152,squalus acanthias,
53,-163,squalus acanthias,
52,-180,squalus acanthias,
60,-170,squalus acanthias,
36.5,-125,sardinops sagax,
42.5,-127.5,sardinops sagax,
47,-127.5,sardinops sagax,
36.5,-125,scomber japonicus,
42.5,-127.5,scomber japonicus,
47,-127.5,scomber japonicus,
36.5,-125,scomber japonicus,sand
36.5,-125,scomber japonicus,macroalgae
42.5,-127.5,scomber japonicus,sand
42.5,-127.5,scomber japonicus,macroalgae
47,-127.5,scomber japonicus,sand
47,-127.5,scomber japonicus,macroalgae
36.5,-125,thunnus alalunga,
42.5,-127.5,thunnus alalunga,
47,-127.5,thunnus alalunga,
36.5,-125,thunnus obesus,
42.5,-127.5,thunnus obesus,
47,-127.5,thunnus obesus,
36.5,-125,katsuwonus pelamis,
42.5,-127.5,katsuwonus pelamis,
47,-127.5,katsuwonus pelamis,
36.5,-125,thunnus albacares,
42.5,-127.5,thunnus albacares,
47,-127.5,thunnus albacares,
36.5,-125,kajikia audax,
42.5,-127.5,kajikia audax,
47,-127.5,kajikia audax,
36.5,-125,xiphias gladius,
42.5,-127.5,xiphias gladius,
47,-127.5,xiphias gladius,
36.5,-125,thunnus thynnus,
42.5,-127.5,thunnus thynnus,
47,-127.5,thunnus thynnus,
36.82,-121.98,sebastes paucispinis,mud
36.82,-121.98,sebastes paucispinis,rock
36.82,-121.98,sebastes pinniger,mud
36.82,-121.98,sebastes pinniger,rock
36.82,-121.98,microstomus pacificus,mud
36.82,-121.98,sebastes levis,rock
36.82,-121.98,sebastes levis,coral
36.82,-121.98,sebastes ruberrimus,rock
36.82,-121.98,sebastes ruberrimus,coral
36.82,-121.98,sebastes crameri,mud
36.82,-121.98,sebastes crameri,rock
36.5,-125,atheresthes stomias,
38,-126,atheresthes stomias,
40,-127,atheresthes stomias,
42.5,-127.5,atheresthes stomias,
44,-127.5,atheresthes stomias,
47,-127.5,atheresthes stomias,
36.5,-125,atheresthes stomias,sand
36.5,-125,atheresthes stomias,macroalgae
38,-126,atheresthes stomias,sand
38,-126,atheresthes stomias,macroalgae
40,-127,atheresthes stomias,sand
40,-127,atheresthes stomias,macroalgae
42.5,-127.5,atheresthes stomias,sand
42.5,-127.5,atheresthes stomias,macroalgae
44,-127.5,atheresthes stomias,sand
44,-127.5,atheresthes stomias,macroalgae
47,-127.5,atheresthes stomias,sand
47,-127.5,atheresthes stomias,macroalgae
36.5,-125,atheresthes stomias,mud
36.5,-125,atheresthes stomias,rock
36.5,-125,atheresthes stomias,reef
36.5,-125,atheresthes stomias,coral
38,-126,atheresthes stomias,mud
38,-126,atheresthes stomias,rock
38,-126,atheresthes stomias,reef
38,-126,atheresthes stomias,coral
40,-127,atheresthes stomias,mud
40,-127,atheresthes stomias,rock
40,-127,atheresthes stomias,reef
40,-127,atheresthes stomias,coral
42.5,-127.5,atheresthes stomias,mud
42.5,-127.5,atheresthes stomias,rock
42.5,-127.5,atheresthes stomias,reef
42.5,-127.5,atheresthes stomias,coral
44,-127.5,atheresthes stomias,mud
44,-127.5,atheresthes stomias,rock
44,-127.5,atheresthes stomias,reef
44,-127.5,atheresthes stomias,coral
47,-127.5,atheresthes stomias,mud
47,-127.5,atheresthes stomias,rock
47,-127.5,atheresthes stomias,reef
47,-127.5,atheresthes stomias,coral
36.5,-125,reinhardtius stomias,
38,-126,reinhardtius stomias,
40,-127,reinhardtius stomias,
42.5,-127.5,reinhardtius stomias,
44,-127.5,reinhardtius stomias,
47,-127.5,reinhardtius stomias,
36.5,-125,reinhardtius stomias,sand
36.5,-125,reinhardtius stomias,macroalgae
38,-126,reinhardtius stomias,sand
38,-126,reinhardtius stomias,macroalgae
40,-127,reinhardtius stomias,sand
40,-127,reinhardtius stomias,macroalgae
42.5,-127.5,reinhardtius stomias,sand
42.5,-127.5,reinhardtius stomias,macroalgae
44,-127.5,reinhardtius stomias,sand
44,-127.5,reinhardtius stomias,macroalgae
47,-127.5,reinhardtius stomias,sand
47,-127.5,reinhardtius stomias,macroalgae
36.5,-125,reinhardtius stomias,mud
36.5,-125,reinhardtius stomias,rock
36.5,-125,reinhardtius stomias,reef
36.5,-125,reinhardtius stomias,coral
38,-126,reinhardtius stomias,mud
38,-126,reinhardtius stomias,rock
38,-126,reinhardtius stomias,reef
38,-126,reinhardtius stomias,coral
40,-127,reinhardtius stomias,mud
40,-127,reinhardtius stomias,rock
40,-127,reinhardtius stomias,reef
40,-127,reinhardtius stomias,coral
42.5,-127.5,reinhardtius stomias,mud
42.5,-127.5,reinhardtius stomias,rock
42.5,-127.5,reinhardtius stomias,reef
42.5,-127.5,reinhardtius stomias,coral
44,-127.5,reinhardtius stomias,mud
44,-127.5,reinhardtius stomias,rock
44,-127.5,reinhardtius stomias,reef
44,-127.5,reinhardtius stomias,coral
47,-127.5,reinhardtius stomias,mud
47,-127.5,reinhardtius stomias,rock
47,-127.5,reinhardtius stomias,reef
47,-127.5,reinhardtius stomias,coral
36.5,-125,microstomus pacificus,
38,-126,microstomus pacificus,
40,-127,microstomus pacificus,
42.5,-127.5,microstomus pacificus,
44,-127.5,microstomus pacificus,
47,-127.5,microstomus pacificus,
36.5,-125,microstomus pacificus,soft-sediment
36.5,-125,microstomus pacificus,mud
36.5,-125,microstomus pacificus,sand
38,-126,microstomus pacificus,soft-sediment
38,-126,microstomus pacificus,mud
38,-126,microstomus pacificus,sand
40,-127,microstomus pacificus,soft-sediment
40,-127,microstomus pacificus,mud
40,-127,microstomus pacificus,sand
42.5,-127.5,microstomus pacificus,soft-sediment
42.5,-127.5,microstomus pacificus,mud
42.5,-127.5,microstomus pacificus,sand
44,-127.5,microstomus pacificus,soft-sediment
44,-127.5,microstomus pacificus,mud
44,-127.5,microstomus pacificus,sand
47,-127.5,microstomus pacificus,soft-sediment
47,-127.5,microstomus pacificus,mud
47,-127.5,microstomus pacificus,sand
36.5,-125,hippoglossoides elassodon,
38,-126,hippoglossoides elassodon,
40,-127,hippoglossoides elassodon,
42.5,-127.5,hippoglossoides elassodon,
44,-127.5,hippoglossoides elassodon,
47,-127.5,hippoglossoides elassodon,
36.5,-125,hippoglossoides elassodon,soft-sediment
36.5,-125,hippoglossoides elassodon,mud
36.5,-125,hippoglossoides elassodon,sand
38,-126,hippoglossoides elassodon,soft-sediment
38,-126,hippoglossoides elassodon,mud
38,-126,hippoglossoides elassodon,sand
40,-127,hippoglossoides elassodon,soft-sediment
40,-127,hippoglossoides elassodon,mud
40,-127,hippoglossoides elassodon,sand
42.5,-127.5,hippoglossoides elassodon,soft-sediment
42.5,-127.5,hippoglossoides elassodon,mud
42.5,-127.5,hippoglossoides elassodon,sand
44,-127.5,hippoglossoides elassodon,soft-sediment
44,-127.5,hippoglossoides elassodon,mud
44,-127.5,hippoglossoides elassodon,sand
47,-127.5,hippoglossoides elassodon,soft-sediment
47,-127.5,hippoglossoides elassodon,mud
47,-127.5,hippoglossoides elassodon,sand
36.5,-125,eopsetta jordani,
38,-126,eopsetta jordani,
40,-127,eopsetta jordani,
42.5,-127.5,eopsetta jordani,
44,-127.5,eopsetta jordani,
47,-127.5,eopsetta jordani,
52,-140,eopsetta jordani,
55,-152,eopsetta jordani,
53,-163,eopsetta jordani,
36.5,-125,eopsetta jordani,soft-sediment
36.5,-125,eopsetta jordani,mud
36.5,-125,eopsetta jordani,sand
38,-126,eopsetta jordani,soft-sediment
38,-126,eopsetta jordani,mud
38,-126,eopsetta jordani,sand
40,-127,eopsetta jordani,soft-sediment
40,-127,eopsetta jordani,mud
40,-127,eopsetta jordani,sand
42.5,-127.5,eopsetta jordani,soft-sediment
42.5,-127.5,eopsetta jordani,mud
42.5,-127.5,eopsetta jordani,sand
44,-127.5,eopsetta jordani,soft-sediment
44,-127.5,eopsetta jordani,mud
44,-127.5,eopsetta jordani,sand
47,-127.5,eopsetta jordani,soft-sediment
47,-127.5,eopsetta jordani,mud
47,-127.5,eopsetta jordani,sand
52,-140,eopsetta jordani,soft-sediment
52,-140,eopsetta jordani,mud
52,-140,eopsetta jordani,sand
55,-152,eopsetta jordani,soft-sediment
55,-152,eopsetta jordani,mud
55,-152,eopsetta jordani,sand
53,-163,eopsetta jordani,soft-sediment
53,-163,eopsetta jordani,mud
53,-163,eopsetta jordani,sand
36.5,-125,glyptocephalus zachirus,
38,-126,glyptocephalus zachirus,
40,-127,glyptocephalus zachirus,
42.5,-127.5,glyptocephalus zachirus,
44,-127.5,glyptocephalus zachirus,
47,-127.5,glyptocephalus zachirus,
36.5,-125,glyptocephalus zachirus,soft-sediment
36.5,-125,glyptocephalus zachirus,mud
36.5,-125,glyptocephalus zachirus,sand
36.5,-125,glyptocephalus zachirus,rock
38,-126,glyptocephalus zachirus,soft-sediment
38,-126,glyptocephalus zachirus,mud
38,-126,glyptocephalus zachirus,sand
38,-126,glyptocephalus zachirus,rock
40,-127,glyptocephalus zachirus,soft-sediment
40,-127,glyptocephalus zachirus,mud
40,-127,glyptocephalus zachirus,sand
40,-127,glyptocephalus zachirus,rock
42.5,-127.5,glyptocephalus zachirus,soft-sediment
42.5,-127.5,glyptocephalus zachirus,mud
42.5,-127.5,glyptocephalus zachirus,sand
42.5,-127.5,glyptocephalus zachirus,rock
44,-127.5,glyptocephalus zachirus,soft-sediment
44,-127.5,glyptocephalus zachirus,mud
44,-127.5,glyptocephalus zachirus,sand
44,-127.5,glyptocephalus zachirus,rock
47,-127.5,glyptocephalus zachirus,soft-sediment
